订单编号,日期,商品名称,类别,单价,数量,城市
ORD0001,2026-01-01,可乐,饮料,3.5,9.0,上海
ORD0002,2026-01-24,樱桃,水果,60.0,4.0,杭州
ORD0003,2026-03-14,香蕉,水果,3.2,2.0,北京
ORD0004,2026-01-08,香蕉,水果,3.2,17.0,杭州
ORD0005,2026-03-07,苹果,水果,5.5,18.0,深圳
ORD0006,2026-02-19,樱桃,水果,60.0,9.0,
ORD0007,2026-01-23,咖啡,饮料,35.0,14.0,广州
ORD0008,2026-01-07,白菜, 蔬菜,2.5,11.0,北京
ORD0009,2026-02-04,香蕉,水果,3.2,12.0,广州
ORD0010,2026/1/09,饼干,零食,12.5,2.0,深圳
ORD0011,2026-01-13,巧克力,零食,25.0,3.0,杭州
ORD0012,2026-03-20,白菜,蔬菜,2.5,12.0,杭州
ORD0013,2026-03-03,樱桃,水果,60.0,2.0,
ORD0014,2026-02-03,咖啡,饮料,35.0,8.0,北京
ORD0015,2026-02-15,黄瓜,蔬菜,3.5,12.0,上海
ORD0016,2026-02-07,西红柿,饮料 ,4.8,9.0,北京
ORD0017,2026-03-06,饼干,零食,12.5,18.0,上海
ORD0018,2026-02-13,西瓜,水果,15.0,9.0,杭州
ORD0019,2026-03-11,樱桃,水果,60.0,-3.0,上海
ORD0020,2026-01-26,矿泉水,饮料,2.0,11.0,深圳
ORD0021,2026-01-07,白菜,蔬菜,2.5,,广州
ORD0022,2026-03-16,樱桃,水果,60.0,13.0,深圳
ORD0023,2026/2/22,西瓜,水果,15.0,8.0,杭州
ORD0024,2026-02-24,巧克力,零食,25.0,19.0,深圳
ORD0025,2026-02-12,饼干,零食,12.5,8.0,上海
ORD0026,2026-02-03,巧克力,零食,25.0,-1.0,北京
ORD0027,2026-03-06,西瓜,水果,15.0,14.0,杭州
ORD0028,2026-02-13,香蕉,水果,3.2,20.0,深圳
ORD0029,2026-02-18,巧克力,水果 ,25.0,1.0,北京
ORD0030,2026-03-25,可乐,饮料,3.5,9.0,广州
ORD0031,2026-02-14,香蕉,水果,0.0,6.0,深圳
ORD0032,2026-03-24,苹果,水果,5.5,9.0,杭州
ORD0033,2026-01-17,咖啡,饮料,35.0,4.0,广州
ORD0034,2026-03-17,矿泉水,饮料,2.0,,上海
ORD0035,2026-02-25,西瓜,水果,15.0,6.0,杭州
ORD0036,2026-03-01,咖啡,饮料,35.0,20.0,广州
ORD0037,2026-01-04,薯片,零食,8.9,12.0,广州
ORD0038,2026-01-08,樱桃,水果,60.0,19.0,北京
ORD0039,2026-03-16,香蕉,水果,3.2,3.0,杭州
ORD0040,2026-01-05,咖啡,饮料,35.0,16.0,杭州
ORD0041,2026-02-17,西瓜,水果,15.0,20.0,深圳
ORD0042,2026-03-25,樱桃,水果,60.0,7.0,
ORD0043,2026-03-21,黄瓜,蔬菜,3.5,12.0,深圳
ORD0044,2026-02-04,巧克力,零食,25.0,8.0,上海
ORD0045,2026-02-01,香蕉,水果,3.2,19.0,杭州
ORD0004,2026-01-08,香蕉,水果,3.2,17.0,杭州
ORD0011,2026-01-13,巧克力,零食,25.0,3.0,杭州
