订单编号,日期,商品名称,类别,单价,数量,城市,月份,销售额
ORD0001,2026-01-01,可乐,饮料,3.5,9,上海,1,31.5
ORD0002,2026-01-24,樱桃,水果,60.0,4,杭州,1,240.0
ORD0003,2026-03-14,香蕉,水果,3.2,2,北京,3,6.4
ORD0004,2026-01-08,香蕉,水果,3.2,17,杭州,1,54.400000000000006
ORD0005,2026-03-07,苹果,水果,5.5,18,深圳,3,99.0
ORD0006,2026-02-19,樱桃,水果,60.0,9,未知,2,540.0
ORD0007,2026-01-23,咖啡,饮料,35.0,14,广州,1,490.0
ORD0008,2026-01-07,白菜,蔬菜,2.5,11,北京,1,27.5
ORD0009,2026-02-04,香蕉,水果,3.2,12,广州,2,38.400000000000006
ORD0010,2026-01-09,饼干,零食,12.5,2,深圳,1,25.0
ORD0011,2026-01-13,巧克力,零食,25.0,3,杭州,1,75.0
ORD0012,2026-03-20,白菜,蔬菜,2.5,12,杭州,3,30.0
ORD0013,2026-03-03,樱桃,水果,60.0,2,未知,3,120.0
ORD0014,2026-02-03,咖啡,饮料,35.0,8,北京,2,280.0
ORD0015,2026-02-15,黄瓜,蔬菜,3.5,12,上海,2,42.0
ORD0016,2026-02-07,西红柿,饮料,4.8,9,北京,2,43.199999999999996
ORD0017,2026-03-06,饼干,零食,12.5,18,上海,3,225.0
ORD0018,2026-02-13,西瓜,水果,15.0,9,杭州,2,135.0
ORD0020,2026-01-26,矿泉水,饮料,2.0,11,深圳,1,22.0
ORD0022,2026-03-16,樱桃,水果,60.0,13,深圳,3,780.0
ORD0023,2026-02-22,西瓜,水果,15.0,8,杭州,2,120.0
ORD0024,2026-02-24,巧克力,零食,25.0,19,深圳,2,475.0
ORD0025,2026-02-12,饼干,零食,12.5,8,上海,2,100.0
ORD0027,2026-03-06,西瓜,水果,15.0,14,杭州,3,210.0
ORD0028,2026-02-13,香蕉,水果,3.2,20,深圳,2,64.0
ORD0029,2026-02-18,巧克力,水果,25.0,1,北京,2,25.0
ORD0030,2026-03-25,可乐,饮料,3.5,9,广州,3,31.5
ORD0032,2026-03-24,苹果,水果,5.5,9,杭州,3,49.5
ORD0033,2026-01-17,咖啡,饮料,35.0,4,广州,1,140.0
ORD0035,2026-02-25,西瓜,水果,15.0,6,杭州,2,90.0
ORD0036,2026-03-01,咖啡,饮料,35.0,20,广州,3,700.0
ORD0037,2026-01-04,薯片,零食,8.9,12,广州,1,106.80000000000001
ORD0038,2026-01-08,樱桃,水果,60.0,19,北京,1,1140.0
ORD0039,2026-03-16,香蕉,水果,3.2,3,杭州,3,9.600000000000001
ORD0040,2026-01-05,咖啡,饮料,35.0,16,杭州,1,560.0
ORD0041,2026-02-17,西瓜,水果,15.0,20,深圳,2,300.0
ORD0042,2026-03-25,樱桃,水果,60.0,7,未知,3,420.0
ORD0043,2026-03-21,黄瓜,蔬菜,3.5,12,深圳,3,42.0
ORD0044,2026-02-04,巧克力,零食,25.0,8,上海,2,200.0
ORD0045,2026-02-01,香蕉,水果,3.2,19,杭州,2,60.800000000000004
